location_date,weighted_mean_temp,weighted_min_temp,weighted_max_temp
2016-01-18,0.1469738106584747,-3.3990868571979362,4.024726996733906
2016-01-19,0.7654759596597778,-3.179315142298277,4.610747445188536
2016-01-20,3.3529153245109313,0.14287804010575866,6.569013747436727
2016-01-21,3.868062385213555,0.052175191547466734,8.277268691366245
2016-01-22,2.4284326188218825,-0.8048814242545388,5.853544845733026
2016-01-23,2.4254402101127237,-0.2624391984850132,5.287592046644189
2016-01-24,3.3112986674717977,-1.501361707863804,7.87127639653754
2016-01-25,6.080381423276907,1.430239118265575,10.488852976062544
2016-01-26,7.1980721160137175,2.6009887979069717,11.670860198932925
2016-01-27,6.57441885904034,2.3021521598180557,10.558373436550692
2016-01-28,6.210028107687202,1.0488708030712413,11.473684008993747
2016-01-29,6.725735871336793,1.8298428374802544,11.058300182147219
2016-01-30,7.744571744994681,2.962317936054556,12.537908174010283
2016-01-31,10.009231526225816,5.709851815503453,14.898924656806226
2016-02-01,9.62952490749743,5.9664637853888145,14.265387058790838
2016-02-02,8.130452863946307,3.550388700570533,12.239234858640998
2016-02-03,8.586094460361885,3.3682439355130778,13.000970477554134
2016-02-04,7.736607142921546,3.247970807110421,12.005914061970627
2016-02-05,5.18620819400881,0.3747496173431955,10.093577079351041
2016-02-06,5.834936948905701,1.1358457254040488,10.693653751753187
2016-02-07,7.652800614525138,1.9774257392524948,13.420844864452494
2016-02-08,6.562094178470545,1.7272780330957103,11.731548709902057
2016-02-09,4.960576621853976,0.8840390475289069,9.433625766776537
2016-02-10,5.138074809554516,0.803422971123703,9.993741518396844
2016-02-11,3.885791374454595,-0.6252598804318649,9.35465203423136
2016-02-12,3.2810209576907847,-1.4590832669489373,8.284411345306872
2016-02-13,0.6687696509978001,-4.285137818567829,5.411231507621896
2016-02-14,0.49650857560331024,-4.743173440415821,5.200399488722616
2016-02-15,4.987324947891092,-0.5448105267397021,10.806459210252052
2016-02-16,10.615654994600607,4.198664618828329,16.466387374062958
2016-02-17,7.916701912066209,4.224400114225375,12.22901627297464
2016-02-18,6.891337848943724,2.3478085376985454,11.210973699295458
2016-02-19,8.857322457014082,3.894729800153008,14.149265991537405
2016-02-20,12.977397084628153,7.5896105023965905,18.49932904596065
2016-02-21,11.810382289024401,7.054645801410256,15.974173265944845
2016-02-22,9.793525298703736,5.4296242806223125,14.570799674248821
2016-02-23,8.403039440973469,4.512699965675971,12.548857773264192
2016-02-24,9.934731283521453,5.011011963475488,16.17210952095984
2016-02-25,9.832181792690369,4.7667242945043675,15.798625283335285
2016-02-26,6.629149554878207,2.197639918431368,11.212991233778686
2016-02-27,8.128574140307903,2.351582719438966,13.901675659594224
2016-02-28,12.443462458010398,6.0474241643923525,19.123965386206542
2016-02-29,12.36225070343338,6.92793560322455,18.706760972420923
2016-03-01,10.683941414791242,5.612772049737492,16.164417979645293
2016-03-02,8.423252313582035,2.4173152661744703,14.745237371455193
2016-03-03,7.248925888878895,3.3300616614162326,11.227970056291047
2016-03-04,7.33189258450124,3.639924157040204,11.838532563444387
2016-03-05,8.277544205231555,4.322324788856808,12.296289775946736
2016-03-06,9.187510896553897,4.773371446669287,13.71411294952159
2016-03-07,11.843600185720495,6.5111265999699794,17.119804736547923
2016-03-08,14.431744468525428,9.444838152811489,19.46811496082925
2016-03-09,15.782835393155041,9.08438620396107,21.837737832239828
2016-03-10,17.481692064432146,13.04677319919334,22.078799579661187
2016-03-11,14.01179536152765,9.731304078425634,18.53533780299928
2016-03-12,12.701235779480463,7.809213553015919,17.28641821167309
2016-03-13,12.725753092823798,8.498949462053824,17.347928560766885
2016-03-14,12.774891237662207,9.29010850390267,17.259509061357548
2016-03-15,13.821033159513698,9.665658914221556,18.479531577536328
2016-03-16,14.96406494206246,9.776130230730816,20.98266074481642
2016-03-17,14.05696866545463,9.033152186405824,19.609129006313065
2016-03-18,12.797797185134847,8.305155128225366,17.36352924297421
2016-03-19,9.510924469107179,5.910079483023349,13.860566621355428
2016-03-20,7.893369318322471,4.486111834155704,11.874174685359568
2016-03-21,9.051537808199509,4.217117412365545,14.37211892870859
2016-03-22,11.654099296899009,5.470458330515011,17.382585917953506
2016-03-23,14.346269936205502,9.684535545595713,19.856389427863032
2016-03-24,12.154026844174336,7.449805453157304,16.981893918765188
2016-03-25,12.982558604140236,7.096680190017921,19.271552291148428
2016-03-26,11.177029727325362,6.3562055671426085,16.55699859384915
2016-03-27,12.311727395187278,8.446605171098891,17.44035367253604
2016-03-28,11.980794962743293,7.456279619779306,17.80060104861439
2016-03-29,11.444986812226512,6.88876896351576,15.860705982073844
2016-03-30,12.27763694791482,7.378764442394779,17.045995020825185
2016-03-31,16.36174389110801,10.961221508700412,21.842899379340658
2016-04-01,15.80456901399539,11.51949608136505,21.30443348637605
2016-04-02,12.499110333543406,7.95421002608542,17.66660523771836
2016-04-03,10.777716133853936,4.930418612710261,17.825755682295252
2016-04-04,11.004223708859717,5.539105697902813,16.62666845899035
2016-04-05,9.52568961256729,3.7528397867288867,15.295136076858936
2016-04-06,12.08238419873187,6.185092475319438,18.09354032761292
2016-04-07,14.210714168866213,9.461660191874861,18.624955186406364
2016-04-08,11.390234299342678,7.875277840679489,15.114830900292446
2016-04-09,9.226761074457343,6.270726752942675,12.666528355254838
2016-04-10,10.487132793231913,5.862374391549722,15.41007992415224
2016-04-11,14.292252119690204,9.84243359524786,18.912337576793192
2016-04-12,13.420877633011905,9.306288388341306,17.625748045063805
2016-04-13,12.404111486225444,8.288118214379878,17.051150923276765
2016-04-14,13.67294258890086,8.581341826454853,19.287545662091556
2016-04-15,14.543410208797276,9.27892266062298,20.60397860746953
2016-04-16,15.943907446726698,9.644568605055024,22.30308430117112
2016-04-17,17.404940581582764,10.824688855589827,24.509749362568755
2016-04-18,19.435857112588696,11.92216590143308,26.787917779816905
2016-04-19,18.812272144493313,13.798458818697645,23.79569842616615
2016-04-20,17.7436414213835,12.44827644041036,23.57535470513775
2016-04-21,18.329890472727023,12.624269645104906,23.8878825135128
2016-04-22,19.175232455308546,14.505454333647206,23.62677422489303
2016-04-23,17.241993183922578,12.287825577877344,21.970516640552038
2016-04-24,15.940734261610677,10.33587829992167,21.986861693249534
2016-04-25,17.495071132100154,12.267047927063329,22.70598591796551
2016-04-26,15.598138447781997,11.23753098480314,20.36760075458847
2016-04-27,14.5911908892349,10.717351879872261,18.95346191650276
2016-04-28,14.274506204840636,10.899722926044534,18.097801365603
2016-04-29,14.226280269092474,11.448333072957258,17.839969335240372
2016-04-30,14.579810129222201,11.020739686721667,18.775947990483857
2016-05-01,14.696270611941827,11.386937627435985,18.32932911438064
2016-05-02,15.323088440799186,10.854162639239934,20.01118590929898
2016-05-03,15.82084624668476,11.75451956352607,19.871174894880788
2016-05-04,14.970259881273345,11.523697407908642,18.88594934567982
2016-05-05,15.197902857027064,11.136325247510818,19.356814147957753
2016-05-06,15.581090718108971,11.149748970654244,19.921615876726865
2016-05-07,15.90466255670552,11.345447702909835,20.395252168778676
2016-05-08,16.74147661266938,11.666174200777983,21.627196142168824
2016-05-09,17.702429924515425,13.16951497488536,22.17091315840662
2016-05-10,17.605314503943788,13.430481496083527,22.05434377216335
2016-05-11,19.20704862757932,14.427249761835412,24.41098568779826
2016-05-12,20.06538875242283,14.962987629725653,25.74413532645968
2016-05-13,19.10463730077993,14.734863490414627,23.852235605199127
2016-05-14,17.71484157552119,14.035780567366174,22.14467069188276
2016-05-15,14.807975179968249,10.965023301508234,18.878678032147434
2016-05-16,16.038037931044315,10.633784294095049,21.222464686732163
2016-05-17,17.289787586787142,14.04780620901815,21.503076324840592
2016-05-18,16.936877261957957,13.360870589168742,21.534355222909028
2016-05-19,17.56578012115772,13.226260195703981,22.596023658192454
2016-05-20,18.653600384504866,13.547149167043624,23.853027077451486
2016-05-21,17.89424913200142,14.092720425053793,22.269217729036068
2016-05-22,18.33601684327856,13.717225029809212,23.1277186248278
2016-05-23,19.46295672559885,13.609136826597997,25.114964151225706
2016-05-24,20.596266092650318,15.636371076901249,25.593506138623585
2016-05-25,22.803484480179584,16.832174086624626,28.63058313878149
2016-05-26,23.399684288420634,18.036311548508245,28.603597415092743
2016-05-27,22.753178465479078,18.325628532144528,28.012455274182006
2016-05-28,24.184402568638465,19.10353399156166,29.855194847830642
2016-05-29,23.374292214376744,18.79912203347574,28.46134993122291
2016-05-30,22.904402391951113,18.25170347472125,28.06900644630348
2016-05-31,23.880289783573527,19.46502453786948,29.070403180401247
2016-06-01,23.498792632118587,18.895871039600348,28.91043665638226
2016-06-02,22.233605932442455,17.946165173540404,26.885879422249594
2016-06-03,22.68904314049592,18.15743144031823,28.08111556634618
2016-06-04,23.552224248074804,19.276401257919535,28.51746845793404
2016-06-05,22.830287638266494,18.960712878088717,27.359379711564124
2016-06-06,24.423252645659264,18.99724151302528,30.09796377905697
2016-06-07,23.6078174134728,18.539047060770212,28.989454855919803
2016-06-08,20.770139840157878,15.865561271692362,25.80963091496074
2016-06-09,21.166441254942605,15.648878011177308,26.135809066693106
2016-06-10,23.032999809516568,17.567832992443737,28.49434308916379
2016-06-11,25.091348552714134,19.015490688069246,30.890617008477538
2016-06-12,24.272687801587324,18.80613193162778,29.5432723523159
2016-06-13,21.792057492606393,16.92950681730188,26.88979693786931
2016-06-14,22.790010070418916,17.79966006967916,27.931118612236126
2016-06-15,24.331008107865866,19.32867838325002,29.67025174715548
2016-06-16,23.590655196253465,19.297658436842074,28.177247304117316
2016-06-17,24.0032813791925,19.10607801187351,29.321712727024583
2016-06-18,25.000887811124365,18.593762779608948,31.064129538368523
2016-06-19,26.275057848375965,19.970788087863514,32.25504759780713
2016-06-20,27.09091415807525,20.970849347762428,32.62162003894298
2016-06-21,26.919027460344537,22.035386966363834,32.32027209009929
2016-06-22,25.791331916246385,20.977479325909442,30.462810184879817
2016-06-23,24.774848229630976,20.697358220124755,29.335683410979023
2016-06-24,24.755526675501606,20.234208350996,29.993487857282144
2016-06-25,25.3230560815145,20.023281018247914,30.675430063155854
2016-06-26,26.201672936767277,21.194307927890375,31.846675130539637
2016-06-27,26.260792636666633,21.23097409601137,32.03762311772253
2016-06-28,24.66406260123489,21.145948012090177,29.189895864773767
